id,label_id,movie_id
1002,16,597
1003,3,597
1004,16,598
1005,12,599
1006,18,600
1007,11,601
1008,14,602
1009,16,603
1010,14,604
1011,11,605
1012,3,605
1013,5,606
1014,11,607
1015,2,608
1016,11,608
1017,18,608
1018,19,609
1019,6,609
1020,7,610
1021,19,610
1022,15,610
1023,5,610
1024,10,610
1025,7,611
1026,5,611
1027,10,611
1028,16,612
1029,11,613
1030,3,613
1031,11,614
1032,18,614
1033,15,616
1034,6,616
1035,11,617
1036,16,618
1037,3,618
1038,16,619
1039,11,620
1040,11,621
1041,3,623
1042,7,624
1043,11,624
1044,18,624
1045,11,625
1046,16,626
1047,11,627
1048,18,627
1049,11,628
1050,18,628
1051,11,629
1052,11,630
1053,3,630
1054,15,631
1055,6,631
1056,13,631
1057,8,632
1058,16,633
1059,16,634
1060,16,635
1061,11,635
1062,11,636
1063,16,637
1064,3,638
1065,16,639
1066,11,640
1067,18,640
1068,16,641
1069,11,642
1070,16,643
1071,16,644
1072,11,645
1073,11,647
1074,8,647
1075,7,648
1076,19,648
1077,17,648
1078,11,650
1079,16,651
1080,17,652
1081,7,653
1082,19,653
1083,4,653
1084,11,654
1085,3,654
1086,16,655
1087,16,656
1088,11,658
1089,2,659
1090,18,659
1091,11,660
1092,15,661
1093,6,661
1094,13,661
1095,18,662
1096,16,663
1097,16,664
1098,8,665
1099,7,667
1100,11,668
1101,11,669
1102,11,670
1103,16,671
1104,10,671
1105,11,672
1106,19,673
1107,15,673
1108,6,673
1109,16,673
1110,4,673
1111,19,674
1112,10,674
1113,7,675
1114,11,675
1115,18,675
1116,11,676
1117,11,678
1118,18,678
1119,11,679
1120,10,680
1121,2,681
1122,14,682
1123,11,682
1124,11,684
1125,11,685
1126,11,687
1127,3,687
1128,7,688
1129,19,688
1130,16,688
1131,8,688
1132,3,690
1133,16,691
1134,3,691
1135,7,692
1136,10,692
1137,18,692
1138,11,693
1139,7,694
1140,17,695
1141,18,695
1142,18,696
1143,11,697
1144,3,697
1145,11,698
1146,11,699
1147,16,700
1148,11,701
1149,11,702
1150,11,703
1151,7,704
1152,19,704
1153,16,705
1154,11,706
1155,2,707
1156,1,707
1157,18,707
1158,16,708
1159,3,708
1160,15,709
1161,6,709
1162,16,710
1163,19,711
1164,6,711
1165,11,712
1166,11,713
1167,12,714
1168,11,715
1169,2,716
1170,16,717
1171,16,718
1172,10,718
1173,16,719
1174,15,720
1175,11,721
1176,14,722
1177,11,723
1178,11,724
1179,5,724
1180,16,725
1181,11,726
1182,16,728
1183,11,729
1184,11,730
1185,17,731
1186,18,731
1187,2,732
1188,7,733
1189,19,733
1190,18,733
1191,16,734
1192,16,735
1193,5,735
1194,7,736
1195,19,736
1196,3,736
1197,18,736
1198,7,737
1199,10,737
1200,11,738
1201,16,739
1202,15,741
1203,10,741
1204,5,742
1205,18,742
1206,16,743
1207,11,744
1208,15,745
1209,16,745
1210,18,745
1211,1,746
1212,16,747
1213,7,748
1214,10,748
1215,18,748
1216,11,749
1217,10,750
1218,8,750
1219,16,751
1220,16,753
1221,11,753
1222,19,754
1223,6,754
1224,6,755
1225,11,755
1226,14,756
1227,11,757
1228,11,758
1229,14,759
1230,8,760
1231,19,761
1232,16,762
1233,2,762
1234,11,764
1235,3,764
1236,16,765
1237,11,765
1238,11,766
1239,11,767
1240,11,768
1241,11,770
1242,16,772
1243,11,773
1244,11,774
1245,5,775
1246,16,776
1247,11,776
1248,8,777
1249,11,778
1250,11,779
1251,3,779
1252,7,780
1253,10,780
1254,8,780
1255,11,781
1256,18,782
1257,15,783
1258,6,783
1259,13,783
1260,16,784
1261,16,785
1262,7,786
1263,18,786
1264,14,787
1265,16,788
1266,4,788
1267,3,788
1268,10,788
1269,11,789
1270,11,790
1271,14,791
1272,4,792
1273,11,793
1274,16,794
1275,11,794
1276,11,795
1277,11,796
1278,16,797
1279,7,798
1280,19,798
